location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,Iron,3,2076.7286210218563,59.04680000000001,35.170891919999995,0.0,0.0,,35.170891919999995,2076.7286210218563,,S1
AUS,Iron,4,2141.27424187344,60.882000000000005,35.17089192,0.0,0.0,,35.17089192,2141.27424187344,,S1
AUS,Iron,5,2205.819862725024,62.717200000000005,35.170891919999995,0.0,0.0,,35.170891919999995,2205.819862725024,,S1
AUS,Iron,6,2270.3654835766088,64.55240000000002,35.17089192,0.0,0.0,,35.17089192,2270.3654835766088,,S1
AUS,Iron,7,2334.911104428192,66.3876,35.17089192,0.0,0.0,,35.17089192,2334.911104428192,,S1
AUS,Iron,8,2399.4567252797756,68.22279999999999,35.170891919999995,0.0,0.0,,35.170891919999995,2399.4567252797756,,S1
AUS,Iron,9,2464.0023461313604,70.058,35.17089192,0.0,0.0,,35.17089192,2464.0023461313604,,S1
AUS,Iron,10,2528.547966982944,71.89320000000001,35.17089192,0.0,0.0,,35.17089192,2528.547966982944,,S1
AUS,Iron,11,5512.58008686504,156.73700000000002,35.170891919999995,0.0,0.0,,35.170891919999995,5512.58008686504,,S1
AUS,Iron,12,6214.858388366832,176.70460000000003,35.170891919999995,0.0,0.0,,35.170891919999995,6214.858388366832,,S1
AUS,Iron,13,6921.195410796192,196.78760000000003,35.170891919999995,0.0,0.0,,35.170891919999995,6921.195410796192,,S1
AUS,Nickel,0,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,0,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,1,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,1,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,2,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,2,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,3,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,3,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
AUS,Nickel,4,0.0,0.0,,11.0230004088,3.24,3959.4050206200013,3959.4050206200013,12828.472266808805,0.0,S1
