technology,edge,time_operation,value_scenario_MC1,value_scenario_MC2,value_scenario_MC3,value_scenario_MC4,value_scenario_MC5,value_scenario_MC6,value_scenario_MC7,value_scenario_MC8,value_scenario_MC9
Aluminium_transport,AUS-USA,9,0.0,101.80799999999999,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
Aluminium_transport,AUS-USA,10,0.0,101.80799999999999,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
Aluminium_transport,AUS-USA,11,0.0,101.80799999999999,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
Aluminium_transport,AUS-USA,12,0.0,101.80799999999999,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
Aluminium_transport,AUS-USA,13,0.0,101.80799999999999,101.80799999999999,101.80799999999999,0.0,101.80799999999999,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-AUS,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-BRA,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CHN,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-CZE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,AUT-DEU,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
