location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
JPN,8,3798847.0477229543,294.75250000000005,61433.56527690234,516.1147500000002,3860280.6129998565,810.8672500000002,4760.681372937253,0.01617163431566056,1.7510105936336422
JPN,9,4103660.6211963715,395.02850000000007,167916.68300155876,693.9023500000001,4271577.30419793,1088.9308500000002,3922.725951053668,0.040918754863457675,1.7565880689621127
JPN,10,4188141.454853658,510.31892702500016,205106.0130215102,880.7776711075004,4393247.467875169,1391.0965981325005,3158.1181880344993,0.04897303857390295,1.7259357324686326
JPN,11,4288736.699880918,554.132,223654.94707864663,957.0362,4512391.646959564,1511.1682,2986.0287206676026,0.052149377014647856,1.7270906570997526
JPN,12,4381017.859017951,575.0840000000001,244385.29779411148,997.5834000000001,4625403.1568120625,1572.6674000000003,2941.1197541273264,0.05578276684973224,1.7346742388937963
JPN,13,4481411.590601049,597.283,267814.454846793,1040.4748,4749226.045447842,1637.7577999999999,2899.8341790512873,0.059761182259733835,1.7420130825755964
KOR,0,2706360.3964595147,159.18621475750004,100308.54180322686,218.17268356950007,2806668.9382627415,377.35889832700013,7437.6646495046325,0.037064000025440594,1.370550106376098
KOR,1,2702887.964828953,186.79076630250003,110446.14938072528,263.14662740650004,2813334.1142096785,449.93739370900005,6252.72349785895,0.04086227428509589,1.4087774926751186
KOR,2,2722644.3822737336,275.4091157175001,122310.6406988234,404.5341794905002,2844955.022972557,679.9432952080003,4184.1062968379765,0.04492347274405311,1.4688481840428613
KOR,3,2775102.433110678,357.3582,177510.99021835928,541.2859450000001,2952613.4233290376,898.6441450000001,3285.6314034394977,0.06396556325287892,1.5146873501153746
KOR,4,2788570.090910173,451.6980865125001,179211.36538676388,690.2051174537501,2967781.456296937,1141.9032039662502,2598.978132287167,0.06426640161240141,1.5280231155786612
KOR,5,2780518.803079151,469.8608585500001,183761.32870035287,718.6433934987501,2964280.131779504,1188.5042520487502,2494.1266526137047,0.06608886388283196,1.529481293071523
KOR,6,2779225.5323223,474.00185855,185258.54185054472,728.02261849875,2964484.0741728446,1202.02447704875,2466.2426853830325,0.06665833330040835,1.5359066749776356
KOR,7,2750335.9928223,474.00185855,185258.54185054472,728.0226184987501,2935594.5346728447,1202.0244770487502,2442.208616150989,0.06735851268136835,1.5359066749776358
KOR,8,2754960.0258153346,480.56957062,201592.7184991373,740.6686243195002,2956552.7443144717,1221.2381949395,2420.9468362238204,0.07317446228261537,1.5412308011178009
KOR,9,2757689.344495439,487.61122998,218045.35430902417,754.2272067155002,2975734.6988044633,1241.8384366955001,2396.2333672992245,0.07906813533738292,1.5467798121598548
KOR,10,3061052.7063185587,562.558,396994.91918536916,898.5358,3458047.625503928,1461.0938,2366.752651680493,0.1296922847378292,1.5972322853821295
KOR,11,3091399.0250434373,576.2750000000001,430406.78249626455,924.9476250000001,3521805.807539702,1501.2226250000003,2345.9583867780443,0.13922718452375035,1.6050455511691466
