location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
BRA,12,Iron,22.926234,29.89,0.68526513426,
BRA,13,Iron,22.926234,29.89,0.68526513426,
BRA,0,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,1,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,2,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,3,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,4,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,5,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,6,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,7,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,8,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,9,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,10,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,11,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,12,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,13,Nickel,5750.431919999999,0.605625,3.482605331549999,
BRA,3,Refrigerant,16722.841000000015,0.56875,9.511115818750007,
BRA,4,Refrigerant,16722.841000000004,0.56875,9.511115818750001,
BRA,5,Refrigerant,16722.841000000004,0.56875,9.511115818750001,
