location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
CZE,9,1036306.7650331777,197.5196,2118270.99077657,1476.4474330260002,3154577.7558097476,1673.9670330260003,1884.492163568642,2.044057862257372,7.47494138822679
CZE,10,1061070.7650331776,198.5196,2474878.8975962587,1817.9859321749996,3535949.6626294362,2016.5055321749996,1753.5035764645618,2.332435290042954,9.157715067806905
CZE,11,1351292.2540918132,218.4603964,2623988.5656181797,2076.8419501810004,3975280.819709993,2295.302346581,1731.920339658707,1.941836458895215,9.506720597440975
CZE,12,1718744.7872118128,225.06,2873059.8327653743,2276.0564541450003,4591804.619977187,2501.1164541450003,1835.9019678461486,1.6716035179522597,10.113109633631034
CZE,13,1856076.7872118128,228.42000000000002,3053944.3334815167,2397.972907895,4910021.12069333,2626.392907895,1869.4922248433159,1.6453760720046142,10.498086454316608
DEU,0,952190.430912084,124.495125,43010.63793609796,264.47078750000003,995201.0688481819,388.96591250000006,2558.5817082317767,0.0451702060216032,2.124346535657521
DEU,1,939179.4309101466,124.495125,43010.63793609796,264.47078750000003,982190.0688462445,388.96591250000006,2525.131476260775,0.04579597521042056,2.124346535657521
DEU,2,921071.4309124935,124.495125,43010.63793609796,264.47078750000003,964082.0688485914,388.96591250000006,2478.577268255072,0.0466963109402795,2.124346535657521
DEU,3,906136.4309124935,124.495125,43010.63793609796,264.47078750000003,949147.0688485914,388.96591250000006,2440.1805874148195,0.04746596259548419,2.124346535657521
DEU,4,931961.2995524935,125.48444219999999,31560.772375428798,266.20583158000005,963522.0719279223,391.69027378000004,2459.90808663557,0.0338648958820324,2.1214249903244187
DEU,5,959369.2450724936,126.5426266,6340.8626582625,267.33728974,965710.107730756,393.87991634,2451.7881406706406,0.006609407890476373,2.112626368860278
DEU,6,1045857.9407178096,135.5157855,2822.3011970218854,284.95827877600004,1048680.2419148316,420.47406427600004,2494.042631905296,0.002698551196240705,2.102768158887291
