technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Nickel_transport,ITA-CHN,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-CZE,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-DEU,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-JPN,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-KOR,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROE,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-ROW,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-USA,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUS,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,0,0.0,0.0,0.0,0.0,0.0
