technology,location,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Bauxite_mining,AUS,6,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,7,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,8,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,9,24.0,24.0,24.0,24.0,24.0,24.0
Bauxite_mining,AUS,10,24.376,24.376,24.376,24.376,24.376,24.0
Bauxite_mining,AUS,11,24.376,24.376,24.376,24.376,24.376,50.73798340799999
Bauxite_mining,AUS,12,24.376,24.376,24.376,24.376,24.376,105.68753921600006
Bauxite_mining,AUS,13,24.376,24.376,24.376,24.376,24.376,168.27822174400004
Bauxite_mining,AUT,0,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,1,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,2,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,3,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,4,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,5,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,6,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,7,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,8,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,9,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,10,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,11,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,12,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,AUT,13,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,BRA,0,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,1,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,2,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,3,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,4,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,5,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,6,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,7,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,8,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,9,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,10,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999
Bauxite_mining,BRA,11,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,26.352
Bauxite_mining,BRA,12,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,26.352
Bauxite_mining,BRA,13,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,12.975999999999999,26.352
Bauxite_mining,CHN,0,124.39200000000001,124.39200000000001,124.39200000000001,124.39200000000001,124.39200000000001,111.01600000000002
Bauxite_mining,CHN,1,139.277882576,139.277882576,139.277882576,139.277882576,139.277882576,125.901882576
Bauxite_mining,CHN,2,155.86482654400004,155.86482654400004,155.864826544,155.86482654400004,155.86482654400004,142.48882654400003
Bauxite_mining,CHN,3,174.388354208,174.388354208,174.388354208,174.388354208,174.388354208,161.01235420800003
Bauxite_mining,CHN,4,195.12004244800002,195.12004244800002,195.120042448,195.12004244800002,195.120042448,181.74404244800002
Bauxite_mining,CHN,5,218.37335486400002,218.37335486400002,218.373354864,218.37335486400002,218.37335486400002,204.99735486400004
Bauxite_mining,CHN,6,244.51040796799998,244.51040796799998,244.51040796799998,244.51040796799998,244.51040796799998,231.13440796800006
Bauxite_mining,CHN,7,273.949884736,273.949884736,273.949884736,273.949884736,273.949884736,260.573884736
Bauxite_mining,CHN,8,307.17622480000006,307.17622480000006,307.17622480000006,307.1762248,307.17622480000006,293.80022479999997
Bauxite_mining,CHN,9,344.75039832000004,344.75039832000004,344.75039832000004,344.75039832000004,344.75039832,331.37439831999995
Bauxite_mining,CHN,10,360.0,360.0,360.0,360.0,360.0,360.0
Bauxite_mining,CHN,11,360.0,360.0,360.0,360.0,360.0,360.0
Bauxite_mining,CHN,12,360.0,360.0,360.0,360.0,360.0,360.0
Bauxite_mining,CHN,13,360.0,360.0,360.0,360.0,360.0,360.0
Bauxite_mining,CZE,0,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,1,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,2,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,3,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,4,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,5,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,6,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,7,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,8,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,9,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,10,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,11,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,12,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,CZE,13,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,DEU,0,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,1,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,2,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,DEU,3,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,4,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,5,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,6,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,7,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,8,0.004,0.004,0.004,0.004,0.004,0.0
Bauxite_mining,DEU,9,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,DEU,10,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,DEU,11,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,DEU,12,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,DEU,13,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,ITA,11,0.0,0.0,0.0,0.0,0.0,0.004
Bauxite_mining,ITA,12,0.0,0.0,0.0,0.0,0.0,0.004
Bauxite_mining,ITA,13,0.0,0.0,0.0,0.0,0.0,0.004
Bauxite_mining,JPN,0,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,1,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,2,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,3,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,4,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,5,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,6,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,7,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,8,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,9,0.004,0.004,0.004,0.004,0.004,0.004
Bauxite_mining,JPN,10,0.004,0.004,0.004,0.004,0.004,0.004
