technology,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Copper_ore_transport,ROW-CHN,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CHN,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-CZE,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-DEU,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ITA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,0,0.0,0.0,0.0,0.0,0.0
