technology,node,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
HP_assembly,CHN,13,10.5,38.73185799936002,36.82900719968001,0.0,10.5
HP_assembly,CZE,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,3,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,4,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,5,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,6,0.0,0.0,0.0,0.0,0.0
HP_assembly,CZE,7,0.0,0.0,0.5380590000000027,0.15,0.0
HP_assembly,CZE,8,0.31645899999999627,0.2042805000000154,0.1319409999999972,0.3,0.0
HP_assembly,CZE,9,0.35354100000000366,0.4657194999999845,0.18865999999999694,0.3,0.6699999999999999
HP_assembly,CZE,10,0.0,0.0,0.33560800000000013,0.3,0.0
HP_assembly,CZE,11,0.3799999999999999,0.0,0.0,0.4,0.3799999999999999
HP_assembly,CZE,12,0.2,0.0,0.0,0.5,0.2
HP_assembly,CZE,13,0.1,0.0,0.0,0.5,0.1
HP_assembly,DEU,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,3,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,4,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,5,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,6,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,7,0.0,0.0,0.0,0.0,0.0
HP_assembly,DEU,8,0.0,0.0,0.0,0.8298610000000002,0.0
HP_assembly,DEU,9,0.0,0.0,0.0,1.0624820000000001,0.0
HP_assembly,DEU,10,0.0,0.0,0.0,2.9576569999999993,0.0
HP_assembly,DEU,11,1.4800000000000004,0.0,0.0,1.5,1.5428000000000015
HP_assembly,DEU,12,2.67,0.0,0.0,1.8,2.607199999999999
HP_assembly,DEU,13,0.5,0.0,0.0,2.1,0.5
HP_assembly,ITA,0,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,1,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,2,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,3,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,4,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,5,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,6,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,7,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,8,0.0,0.0,0.0,0.0,0.0
HP_assembly,ITA,9,0.0,0.0,0.0,2.328051999999995,0.0
HP_assembly,ITA,10,0.0,0.0,0.0,3.0864140000000093,0.0
HP_assembly,ITA,11,0.0,0.0,0.0,5.403196999999995,0.0
HP_assembly,ITA,12,3.9,0.0,0.0,5.903438000000005,3.9
